id,pop,YearOnly,hatchDoY,lat,lon,Site Name,catchDoY,estimatedAge
205,M. peelii,2013,291.2340791,-35.4,149.01,Kambah Pool,312,13.16
206,M. peelii,2013,290.4137522,-35.29,148.96,Nerreman,315,14.12
207,M. peelii,2013,289.27108,-35.29,148.96,Nerreman,315,15.26
208,M. peelii,2013,289.4615254,-35.29,148.96,Nerreman,315,15.07
209,M. peelii,2013,289.8424161,-35.29,148.96,Nerreman,315,14.69
210,M. peelii,2013,290.7946429,-35.29,148.96,Nerreman,315,13.74
211,M. peelii,2013,290.6041976,-35.29,148.96,Nerreman,315,13.93
212,M. peelii,2013,289.8424161,-35.29,148.96,Nerreman,315,14.69
213,M. peelii,2013,289.27108,-35.29,148.96,Nerreman,315,15.26
214,M. peelii,2013,289.3663027,-35.29,148.96,Nerreman,315,15.16
215,M. peelii,2013,290.6041976,-35.29,148.96,Nerreman,315,13.93
216,M. peelii,2013,290.2233068,-35.29,148.96,Nerreman,315,14.31
217,M. peelii,2013,290.6041976,-35.29,148.96,Nerreman,315,13.93
218,M. peelii,2013,290.7946429,-35.29,148.96,Nerreman,315,13.74
219,M. peelii,2013,288.8901893,-35.29,148.96,Nerreman,315,15.64
220,M. peelii,2013,291.2707564,-35.29,148.96,Nerreman,315,13.26
222,M. peelii,2013,296.1271133,-35.29,148.96,Nerreman,315,8.4
223,M. peelii,2013,290.8898656,-35.29,148.96,Nerreman,315,13.64
224,M. peelii,2013,289.8424161,-35.29,148.96,Nerreman,315,14.69
225,M. peelii,2013,288.2236305,-35.4,149.01,Kambah Pool,315,16.31
226,M. peelii,2013,293.8566332,-35.52,149.07,Tharwa Sandwash,316,12.31
227,M. peelii,2013,290.8609658,-35.4,149.01,Kambah Pool,317,16.12
228,M. peelii,2013,291.8131927,-35.4,149.01,Kambah Pool,317,15.16
229,M. peelii,2013,290.9561885,-35.4,149.01,Kambah Pool,317,16.02
230,M. peelii,2013,291.5275246,-35.4,149.01,Kambah Pool,317,15.45
231,M. peelii,2013,291.71797,-35.4,149.01,Kambah Pool,317,15.26
