"id","YearOnly","estimatedAge","pop","Day of Year","hatchedDoY","Delta13C","Delta15N","CNRatio","Distance to Angle Crossing (m)","lat","lon","raceCladeName","cladeGoTName","mumPulldown","Fathers","inbredCoeff"
120,2011,10.83,"Bullen Range",328,317.16,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.06
121,2011,10.65,"Bullen Range",328,317.34,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.23
122,2011,11.55,"Bullen Range",328,316.44,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.14
123,2011,11.91,"Bullen Range",328,316.08,,,,34906.28,-35.37,148.98,"Pondi","House Arryn","MH13","FH13",-0.53
124,2011,14.07,"Bullen Range",328,313.92,,,,34906.28,-35.37,148.98,"Pondi","House Arryn","MH13","FH13",-0.72
125,2011,11.37,"Bullen Range",328,316.62,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.51
126,2011,11.19,"Bullen Range",328,316.80,,,,34906.28,-35.37,148.98,"Goodoo","Tyrell",,,-0.30
127,2011,11.01,"Tharwa Sandwash",333,321.98,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings",,,-0.11
128,2011,11.73,"Tharwa Sandwash",333,321.26,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Walda Bolton","Ramsay",-0.18
129,2011,15.87,"Tharwa Sandwash",333,317.12,,,,8343.72,-35.52,149.07,"Goodoo","Greyjoys","Meera Reed",,-0.21
130,2011,12.45,"Tharwa Sandwash",333,320.54,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Walda Bolton","Ramsay",6.9e-03
131,2011,11.55,"Tharwa Sandwash",333,321.44,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Walda Bolton","Ramsay",-0.38
132,2011,11.73,"Tharwa Sandwash",333,321.26,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings",,,0.02
133,2011,10.83,"Lanyon",339,328.16,,,,13980.31,-35.47,149.06,"Goodoo","Wildlings","Gilly","Samwell",-0.17
134,2012,11.35,"Bullen Range",331,319.64,,,,34906.28,-35.37,148.98,"Pondi","House Arryn","MH9","FH9",-0.49
135,2012,11.35,"Murramore",326,314.64,,,,20813.63,-35.43,149.07,"Goodoo","Lannister",,,-0.14
136,2012,10.72,"Murramore",326,315.27,,,,20813.63,-35.43,149.07,"Goodoo","Wildlings",,,-0.32
137,2012,9.04,"Murramore",326,316.95,,,,20813.63,-35.43,149.07,"Goodoo","Wildlings",,,0.02
138,2012,12.09,"Murramore",326,313.90,,,,20813.63,-35.43,149.07,"Goodoo","Wildlings","MH14","FH14",-0.49
139,2012,13.04,"Lanyon",325,311.95,,,,13980.31,-35.47,149.06,"Goodoo","Wildlings","Irri","Rakharo",-0.15
140,2012,12.19,"Lanyon",325,312.80,,,,13980.31,-35.47,149.06,"Goodoo","Wildlings","Quaithe","Pyat",-0.01
142,2012,11.88,"Lanyon",325,313.11,,,,13980.31,-35.47,149.06,"Goodoo","Wildlings","Irri","Rakharo",-0.10
143,2012,11.35,"Tharwa Sandwash",324,312.64,,,,8343.72,-35.52,149.07,"Pondi","House Arryn","MH3","FH3",-0.76
146,2012,11.56,"Tharwa Sandwash",324,312.43,,,,8343.72,-35.52,149.07,"Pondi","House Arryn","MH15","FH15",-0.53
147,2012,10.51,"Nerreman",320,309.48,,,,46228.76,-35.29,148.96,"Pondi","House Arryn","MH16","FH16",-0.82
148,2012,12.62,"Nerreman",320,307.37,,,,46228.76,-35.29,148.96,"Goodoo","Wildlings","MH16","FH16",-0.53
149,2012,9.67,"Nerreman",320,310.32,,,,46228.76,-35.29,148.96,"Pondi","House Arryn","MH16","FH16",-0.47
150,2012,10.51,"Nerreman",320,309.48,,,,46228.76,-35.29,148.96,"Goodoo","Nights Watch",,,-0.04
151,2012,11.77,"Bullen Range",318,306.22,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.30
152,2012,12.41,"Bullen Range",318,305.58,,,,34906.28,-35.37,148.98,"Goodoo","Nights Watch",,,-7.5e-03
153,2012,11.04,"Bullen Range",318,306.95,,,,34906.28,-35.37,148.98,"Ponde","Bolton",,,-0.09
154,2012,11.35,"Bullen Range",318,306.64,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.04
