"id","pop","lat","lon","two","three","yo"
167,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
175,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
174,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
173,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
171,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
170,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
169,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
150,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
147,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
148,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
149,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
145,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2012
146,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2012
143,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2012
140,"Lanyon",-35.47,149.06,"Top","Upper",2012
142,"Lanyon",-35.47,149.06,"Top","Upper",2012
139,"Lanyon",-35.47,149.06,"Top","Upper",2012
141,"Lanyon",-35.47,149.06,"Top","Upper",2012
138,"Murramore",-35.43,149.07,"Top","Middle",2012
137,"Murramore",-35.43,149.07,"Top","Middle",2012
136,"Murramore",-35.43,149.07,"Top","Middle",2012
135,"Murramore",-35.43,149.07,"Top","Middle",2012
