PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments,
BL3H,B,7,Maccullochella,,Unknown,larvae,202,
BL3H,B,6,Maccullochella,,Unknown,larvae,203,
BL3H,B,5,Maccullochella,,Unknown,larvae,204,
BL3H,B,4,Maccullochella,,Unknown,larvae,205,
BL3H,B,3,Maccullochella,,Unknown,larvae,206,
BL3H,B,2,Maccullochella,,Unknown,larvae,207,
BL3H,B,1,Maccullochella,,Unknown,larvae,208,
BL3H,C,1,Maccullochella,,Unknown,larvae,209,
BL3H,C,2,Maccullochella,,Unknown,larvae,210,
BL3H,C,3,Maccullochella,,Unknown,larvae,211,
BL3H,C,4,Maccullochella,,Unknown,larvae,212,
BL3H,C,5,Maccullochella,,Unknown,larvae,213,
BL3H,C,6,Maccullochella,,Unknown,larvae,214,
BL3H,C,7,Maccullochella,,Unknown,larvae,215,
BL3H,C,8,Maccullochella,,Unknown,larvae,216,
BL3H,C,9,Maccullochella,,Unknown,larvae,217,
BL3H,C,10,Maccullochella,,Unknown,larvae,218,
BL3H,C,11,Maccullochella,,Unknown,larvae,219,
BL3H,C,12,Maccullochella,,Unknown,larvae,220,
Alan,B,1,Maccullochella,Presumed M. peelii,Unknown,larvae,221,
Alan,A,1,Maccullochella,Presumed M. peelii,Unknown,larvae,222,
BL3H,D,10,Maccullochella,,Unknown,larvae,223,
BL3H,D,9,Maccullochella,,Unknown,larvae,224,
BL3H,D,8,Maccullochella,,Unknown,larvae,225,
BL3H,D,7,Maccullochella,,Unknown,larvae,226,
BL3H,D,6,Maccullochella,,Unknown,larvae,227,
BL3H,D,5,Maccullochella,,Unknown,larvae,228,
BL3H,D,4,Maccullochella,,Unknown,larvae,229,
BL3H,D,3,Maccullochella,,Unknown,larvae,230,
BL3H,D,2,Maccullochella,,Unknown,larvae,231,
BL3H,D,1,Maccullochella,,Unknown,larvae,232,
BL3H,E,1,Maccullochella,,Unknown,larvae,233,
BL3H,E,2,Maccullochella,,Unknown,larvae,234,
BL3H,E,3,Maccullochella,,Unknown,larvae,235,
BL3H,E,4,Maccullochella,,Unknown,larvae,236,
BL3H,E,5,Maccullochella,,Unknown,larvae,237,
BL3H,E,6,Maccullochella,,Unknown,larvae,238,
BL3H,E,7,Maccullochella,,Unknown,larvae,239,
BL3H,E,8,Maccullochella,,Unknown,larvae,240,
BL3H,E,9,Maccullochella,,Unknown,larvae,241,
BL3H,E,10,Maccullochella,,Unknown,larvae,242,
BL3H,E,11,Maccullochella,,Unknown,larvae,243,
BL3H,E,12,Maccullochella,,Unknown,larvae,244,
BL3H,F,12,Maccullochella,,Unknown,larvae,245,
BL3H,F,11,Maccullochella,,Unknown,larvae,246,
BL3H,F,10,Maccullochella,,Unknown,larvae,247,
BL3H,F,9,Maccullochella,,Unknown,larvae,248,
BL3H,F,8,Maccullochella,,Unknown,larvae,249,
BL3H,F,7,Maccullochella,,Unknown,larvae,250,
BL3H,F,6,Maccullochella,,Unknown,larvae,251,
BL3H,F,5,Maccullochella,,Unknown,larvae,252,
BL3H,F,4,Maccullochella,,Unknown,larvae,253,
BL3H,F,3,Maccullochella,,Unknown,larvae,254,
BL3H,F,2,Maccullochella,,Unknown,larvae,255,
BL3H,F,1,Maccullochella,,Unknown,larvae,256,
BL3H,G,1,Maccullochella,,Unknown,larvae,257,
BL3H,G,2,Maccullochella,,Unknown,larvae,258,
BL3H,G,3,Maccullochella,,Unknown,larvae,259,
BL3H,G,4,Maccullochella,,Unknown,larvae,260,
BL3H,G,5,Maccullochella,,Unknown,larvae,261,
BL3H,G,6,Maccullochella,,Unknown,larvae,262,
BL3H,G,7,Maccullochella,,Unknown,larvae,263,
BL3H,G,8,Maccullochella,,Unknown,larvae,264,
BL3H,G,9,Maccullochella,,Unknown,larvae,265,
BL3H,G,10,Maccullochella,,Unknown,larvae,266,
BL3H,G,11,Maccullochella,,Unknown,larvae,267,
BL3H,D,11,Maccullochella,,Unknown,larvae,268,
BL3H,D,12,Maccullochella,,Unknown,larvae,269,
BL3H,H,11,Maccullochella,,Unknown,larvae,270,
BL3H,H,10,Maccullochella,,Unknown,larvae,271,
BL3H,H,9,Maccullochella,,Unknown,larvae,272,
BL3H,H,8,Maccullochella,,Unknown,larvae,273,
BL3H,H,7,Maccullochella,,Unknown,larvae,274,
BL3H,H,6,Maccullochella,,Unknown,larvae,275,
BL3H,H,5,Maccullochella,,Unknown,larvae,276,
BL3H,H,4,Maccullochella,,Unknown,larvae,277,
BL3H,H,3,Maccullochella,,Unknown,larvae,278,
BL3H,H,2,Maccullochella,,Unknown,larvae,279,
BL3H,H,1,Maccullochella,,Unknown,larvae,280,
Plate 3,B,8,Maccullochella,M. peelii,T,larvae,282,
Plate 3,B,9,Maccullochella,M. peelii,T,larvae,283,
Plate 3,B,10,Maccullochella,M. peelii,T,larvae,284,
Plate 3,B,11,Maccullochella,M. peelii,N,larvae,290,
Plate 3,B,12,Maccullochella,M. peelii,N,larvae,292,
Plate 3,C,1,Maccullochella,M. peelii,N,larvae,293,
Plate 3,C,2,Maccullochella,M. peelii,T,larvae,296,
Plate 3,C,3,Maccullochella,M. peelii,T,larvae,297,
Plate 3,C,4,Maccullochella,M. peelii,T,larvae,298,
Plate 3,C,5,Maccullochella,M. peelii,T,larvae,300,
Plate 3,C,6,Maccullochella,M. peelii,T,larvae,302,
Plate 3,C,7,Maccullochella,M. peelii,T,larvae,303,
Plate 3,C,8,Maccullochella,M. peelii,T,larvae,304,
Plate 3,C,9,Maccullochella,M. peelii,T,larvae,314,
Plate 3,C,10,Maccullochella,M. peelii,T,larvae,315,
Plate 3,C,11,Maccullochella,M. peelii,T,larvae,317,
Plate 3,C,12,Maccullochella,M. peelii,T,larvae,319,
Plate 3,D,1,Maccullochella,M. peelii,T,larvae,320,
Plate 3,D,2,Maccullochella,M. peelii,T,larvae,321,
Plate 3,D,3,Maccullochella,M. peelii,T,larvae,322,
Plate 3,D,4,Maccullochella,M. peelii,N,larvae,323,
Plate 3,D,5,Maccullochella,M. peelii,N,larvae,324,
Plate 3,D,6,Maccullochella,M. peelii,N,larvae,327,
Plate 3,D,7,Maccullochella,M. peelii,T,larvae,329,
Plate 3,D,8,Maccullochella,M. peelii,T,larvae,330,
Plate 3,D,9,Maccullochella,M. peelii,T,larvae,332,
Plate 3,D,10,Maccullochella,M. peelii,N,larvae,333,
Plate 3,D,11,Maccullochella,M. peelii,N,larvae,335,
Plate 3,D,12,Maccullochella,M. peelii,N,larvae,337,
Plate 3,E,1,Maccullochella,M. peelii,T,larvae,339,
Plate 3,E,2,Maccullochella,M. peelii,T,larvae,341,
Plate 3,E,3,Maccullochella,M. peelii,T,larvae,342,
Plate 3,E,4,Maccullochella,M. peelii,T,larvae,348,
Plate 3,E,5,Maccullochella,M. peelii,T,larvae,349,
Plate 3,E,6,Maccullochella,M. peelii,T,larvae,351,
Plate 3,E,7,Maccullochella,M. peelii,L,larvae,357,
Plate 3,E,8,Maccullochella,M. peelii,M,larvae,365,
Plate 3,E,9,Maccullochella,M. peelii,M,larvae,366,
Plate 3,E,10,Maccullochella,M. peelii,M,larvae,367,
Plate 3,E,11,Maccullochella,M. peelii,L,larvae,368,
Plate 3,E,12,Maccullochella,M. peelii,L,larvae,369,
Plate 3,F,1,Maccullochella,M. peelii,L,larvae,370,
Plate 3,F,2,Maccullochella,M. peelii,L,larvae,371,
Plate 3,F,3,Maccullochella,M. peelii,L,larvae,372,
Plate 3,F,4,Maccullochella,M. peelii,B,larvae,373,
Plate 3,F,5,Maccullochella,M. peelii,M,larvae,374,
Plate 3,F,6,Maccullochella,M. peelii,M,larvae,375,
Plate 3,F,7,Maccullochella,M. peelii,M,larvae,376,
Plate 3,F,8,Maccullochella,M. peelii,M,larvae,377,
Plate 3,F,9,Maccullochella,M. peelii,B,fin,A20,
Plate 3,F,10,Maccullochella,M. peelii,B,fin,A21,
Plate 3,F,11,Maccullochella,M. peelii,B,fin,A22,
Plate 3,F,12,Maccullochella,M. peelii,B,fin,A23,
Plate 3,G,1,Maccullochella,M. peelii,B,fin,A24,
Plate 3,G,2,Maccullochella,M. peelii,K,fin,A26,
Plate 3,G,3,Maccullochella,M. peelii,T,muscle,A28,
Plate 3,G,4,Maccullochella,M. peelii,B,muscle,A29,
Plate 3,G,5,Maccullochella,M. peelii,B,muscle,A30,
Plate 3,G,6,Maccullochella,M. peelii,B,muscle,A31,
Plate 3,G,7,Maccullochella,M. peelii,N,muscle,A33,
Plate 3,G,8,Maccullochella,M. peelii,N,muscle,A34,
Plate 3,G,9,Maccullochella,M. peelii,N,muscle,A35,
Plate 3,G,10,Maccullochella,M. peelii,N,muscle,A36,
Plate 3,G,11,Maccullochella,M. peelii,B,muscle,A37,
Plate 3,H,1,Maccullochella,M. peelii,B,muscle,A38,
Plate 3,H,2,Maccullochella,M. peelii,B,muscle,A39,
Plate 3,H,3,Maccullochella,M. peelii,B,muscle,A40,
Plate 3,H,4,Maccullochella,M. peelii,B,muscle,A41,
Plate 3,H,5,Maccullochella,M. peelii,B,muscle,A42,
Plate 3,H,6,Maccullochella,M. peelii,B,muscle,A43,
Plate 3,H,7,Maccullochella,M. peelii,B,muscle,A44,
Plate 3,H,8,Maccullochella,M. peelii,B,muscle,A45,
Plate 3,H,9,Maccullochella,M. peelii,B,muscle,A46,
Plate 3,H,10,Maccullochella,M. peelii,B,muscle,A47,
Plate 3,H,11,Maccullochella,M. peelii,N,muscle,A48,
Alan,G,1,Maccullochella,M. macquariensis,Unknown,fin,Bendora20130408,
Alan,H,1,Maccullochella,M. macquariensis,Unknown,larvae,Narranderah,
Alan,A,2,Maccullochella,Presumed M. peelii,Unknown,larvae,T1,864 at 62.5C for 45 min trial 3
Alan,B,3,Maccullochella,Presumed M. peelii,Unknown,larvae,T10,869 at 55C for 45 min  trial 3
Alan,C,3,Maccullochella,Presumed M. peelii,Unknown,larvae,T11,869 at 55C for 45 min  trial 3
Alan,D,3,Maccullochella,Presumed M. peelii,Unknown,larvae,T12,869 at 55C for 45 min  trial 3
Alan,E,3,Maccullochella,Presumed M. peelii,Unknown,larvae,T13,869 at 55C for 1.5 hours  trial 3
Alan,F,3,Maccullochella,Presumed M. peelii,Unknown,larvae,T14,869 at 55C for 1.5 hours  trial 3
Alan,G,3,Maccullochella,Presumed M. peelii,Unknown,larvae,T15,869 at 55C for 1.5 hours  trial 3
Alan,H,3,Maccullochella,Presumed M. peelii,Unknown,larvae,T16,869 at 55C for 1.5 hours  trial 3
Alan,B,2,Maccullochella,Presumed M. peelii,Unknown,larvae,T2,864 at 62.5C for 45 min trial 3
Alan,C,2,Maccullochella,Presumed M. peelii,Unknown,larvae,T3,864 at 62.5C for 45 min  trial 3
Alan,D,2,Maccullochella,Presumed M. peelii,Unknown,larvae,T4,864 at 62.5C for 45 min  trial 3
Alan,E,2,Maccullochella,Presumed M. peelii,Unknown,larvae,T5,864 at 62.5C for 1.5 hours  trial 3
Alan,F,2,Maccullochella,Presumed M. peelii,Unknown,larvae,T6,864 at 62.5C for 1.5 hours  trial 3
Alan,G,2,Maccullochella,Presumed M. peelii,Unknown,larvae,T7,869 at 62.5C for 1.5 hours  trial 3
Alan,H,2,Maccullochella,Presumed M. peelii,Unknown,larvae,T8,869 at 62.5C for 1.5 hours  trial 3
Alan,A,3,Maccullochella,Presumed M. peelii,Unknown,larvae,T9,869 at 55C for 45 min  trial 3
