"","LarvalID","OtoPart","SiteName","Li.Ca","B.Ca","Na.Ca","Mg.Ca","Mg.Ca.1","Al.Ca","Si.Ca","K.Ca","Ca.Ca","Sc.Ca","Ti.Ca","V.Ca","Cr.Ca","Mn.Ca","Fe.Ca","Ni.Ca","Cu.Ca","Zn.Ca","Ga.Ca","Rb.Ca","Sr.Ca","Sr.Ca.1","Y.Ca","Ag.Ca","Sb.Ca","Ba.Ca","Ba.Ca.1","La.Ca","Ce.Ca","Nd.Ca","Er.Ca","Pb.Ca","Li","B","Na","Mg","Mg.1","Al","Si","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","Ga","Rb","Sr","Sr.1","Y","Ag","Sb","Ba","Ba.1","La","Ce","Nd","Er","Pb","Delta13C","Delta15N","CNRatio","Label"
"242","242","Core","Kambah Pool",3.3937340952381e-06,1.6690339047619e-05,0.0181374824047619,0.00040976980952381,0.000409969595238095,2.47719833333333e-06,0.00441087442857143,0.000725173261904762,1.01986067785714,1.10705114285714e-07,2.16472476190476e-07,3.90490854761905e-08,9.85569428571429e-07,5.93317030952381e-05,0.000170250761904762,3.78342469047619e-07,2.50018047619048e-07,4.75753523809524e-07,3.26105412142857e-07,9.51125023809524e-08,0.00186145504761905,0.00186891642857143,1.47748595238095e-09,9.48342380952381e-09,1.11170714285714e-09,1.4395170952381e-05,1.43781919047619e-05,4.66363571428571e-10,2.57786857142857e-09,3.20065714285714e-09,1.40296071428571e-09,4.48856142857143e-09,0.235100551214286,1.8008809575,4161.65024702381,99.4007296538095,99.4491794804762,0.667085337071429,1236.40514372857,282.978591759524,407944.271119048,0.0496716377142857,0.10341726447619,0.0198534723095238,0.511460312166667,32.5322385087857,94.8915046226191,0.221629997952381,0.158567237357143,0.310580013238095,0.22692795447619,0.0811323436666667,1627.83258435714,1634.35763069048,0.00131101516666667,0.010209693452381,0.00135097878571429,19.7299800692857,19.706715157619,0.000646543952380952,0.00360497761904762,0.00460764497619048,0.00234201038095238,0.00928220361904762,-24.45578505,13.84635368,3.689989884,"K20131113-242"
"244","244","Core","Kambah Pool",4.490486e-06,2.517676e-05,0.0182062948,0.0004363026,0.0004066074,1.384502e-06,0.006595334,0.0008075536,0.999587562,5.123568e-08,6.28318e-08,4.063654e-08,1.272542e-06,3.0159e-06,0.0001642628,3.3682108e-07,5.445826e-07,6.522558e-07,3.15818288e-07,3.48274e-08,0.0025947714,0.0027093186,0,0,0,2.938752e-05,3.029702e-05,7.94876e-10,3.109624e-09,4.22334e-09,2.26894e-09,8.443192e-09,0.3110780284,2.716563543,4177.4392946,105.836898176,98.633638514,0.3728330026,1848.727494,315.12520028,399835.0248,0.022988674,0.0300171352,0.0206606014,0.66038465,1.6536511736,91.554083328,0.1973069456,0.345386791,0.4258035028,0.2197695802,0.0297082226,2269.1139802,2369.2849912,0,0,0,40.278453916,41.52501249,0.0011019786,0.0043486014,0.0060799014,0.0037876074,0.0174602276,-24.94239851,13.39545756,3.809864351,"K20131113-244"
"245","245","Core","Kambah Pool",4.15615664705882e-06,2.49408264705882e-05,0.0187622647058824,0.000469362117647059,0.000451267617647059,3.42076617647059e-06,0.00563374070588235,0.000644628147058824,1.05087797205882,1.39101794117647e-07,2.70399382352941e-07,1.26404505882353e-07,1.33545488235294e-06,5.49128885294118e-05,0.000175713911764706,5.89899823529412e-07,7.86777511764706e-07,5.58131294117647e-07,5.29686558823529e-07,9.45907823529412e-08,0.00214385326470588,0.00206669908823529,2.63391970588235e-09,8.72075e-09,9.33841176470588e-10,1.91431411764706e-05,1.90682882352941e-05,1.39438441176471e-09,8.01601176470588e-10,5.58733529411765e-09,3.61901941176471e-09,5.22098970588235e-09,0.287917380970588,2.69110488117647,4305.00672926471,113.856445027353,109.467135747353,0.921179459588235,1579.18481321765,251.548163358824,420351.188858824,0.0624127708235294,0.129180261088235,0.0642670422647059,0.693033101264706,30.1093611445,97.9364631888235,0.345558390588235,0.498992479205882,0.364357928235294,0.368594546205882,0.0806873222352941,1874.78835873529,1807.31746679412,0.00233715005882353,0.00938860958823529,0.0011348355,26.2375321552941,26.1349539926471,0.00193310670588235,0.00112098529411765,0.00804348797058823,0.00604136167647059,0.0107968371764706,-24.04436343,13.60840751,3.644974532,"K20131113-245"
"246","246","Core","Kambah Pool",3.66117858064516e-06,1.47220135483871e-05,0.0184060169677419,0.000305160806451613,0.000307243161290323,3.65944580645161e-06,0.00478725609677419,0.000886754064516129,1.01617454603226,1.15839912903226e-07,1.27024161290323e-07,3.83406129032258e-08,1.43846025806452e-06,2.57856225806452e-06,0.000173890161290323,4.981308e-07,4.8151404516129e-07,5.77010774193548e-07,7.97253419354839e-07,3.25189419354839e-08,0.00285133103225806,0.00288697416129032,4.13576290322581e-09,9.06134193548387e-09,3.72116451612903e-09,4.15473806451613e-05,4.06496838709677e-05,2.77378064516129e-10,4.48938258064516e-09,8.77261935483871e-09,7.88332258064516e-10,5.46060806451613e-09,0.253627895354839,1.58850020206452,4223.265593,74.0249781735484,74.5301264825806,0.985453685290323,1341.90808591935,346.031011358065,406469.818412903,0.0519755566129032,0.0606843175483871,0.0194932827741935,0.74648738583871,1.41385486251613,96.91996775,0.291800981645161,0.305387389967742,0.37668235816129,0.554787204645161,0.0277391330322581,2493.4739703871,2524.64369732258,0.00366977877419355,0.00975528180645161,0.00452207251612903,56.9447316483871,55.7143412545161,0.000384543516129032,0.00627810393548387,0.0126290027096774,0.0013159954516129,0.0112923550645161,-24.79587148,14.12310603,3.431245953,"K20131113-246"
"247","247","Core","Kambah Pool",4.44440524390244e-06,1.62488707317073e-05,0.0191394500243902,0.000604256707317073,0.000584769780487805,2.85058073170732e-06,0.00502756619512195,0.000671376804878049,1.02548866636585,1.04078807317073e-07,1.94197317073171e-07,8.44158146341463e-08,1.37042402439024e-06,5.74457173170732e-05,0.000203048243902439,3.31624226829268e-07,7.11884712195122e-07,6.32133731707317e-07,7.9757803902439e-07,8.78303897560976e-08,0.00198410356097561,0.00198151651219512,2.32790731707317e-09,4.48627073170732e-09,0,1.35533082926829e-05,1.35188090243902e-05,4.12070731707317e-10,2.22011756097561e-09,4.79881219512195e-09,2.99088536585366e-09,4.35382146341463e-09,0.307885824,1.75324687307317,4391.55200373171,146.578764160244,141.85167750122,0.767633896048781,1409.26903151976,261.986062141463,410195.466536585,0.0466985047073171,0.0927755406585366,0.0429189964878049,0.711180148585366,31.4981348102683,113.171584957805,0.194262769560976,0.451493712097561,0.41266777095122,0.555012827707317,0.0749206050487805,1735.08818502439,1732.82580826829,0.00206561795121951,0.00482984102439024,0,18.5761293782927,18.5288392373171,0.00057127456097561,0.00310468636585366,0.00690833648780488,0.00499278682926829,0.00900355446341463,-25.03329492,13.54669793,3.670383024,"K20131113-247"
"248","248","Core","Kambah Pool",2.45839817103448e-06,1.72099962068966e-05,0.0174963127586207,0.000326132103448276,0.000325185344827586,3.89555448275862e-06,0.00548040916551724,0.00145328520689655,1.01238904834483,8.64685103448276e-08,2.13671517241379e-07,4.45193655172414e-08,1.15260386206897e-06,1.40233634482759e-06,0.000184573310344828,4.77262055172414e-07,3.36053117241379e-07,3.59854517241379e-07,8.81705724137931e-07,1.54391248275862e-07,0.001236604,0.00123173951724138,2.20124e-09,2.20710344827586e-09,0,6.03527172413793e-06,6.17470448275862e-06,3.84958275862069e-10,1.88923206896552e-09,5.65154137931034e-09,7.45754068965517e-09,4.52285793103448e-09,0.170305308068966,1.85695091234483,4014.53371303448,79.1121548003448,78.8824789858621,1.0490353137931,1536.20471763452,567.103935996552,404955.619344828,0.0387970476896552,0.102079021206897,0.0226346927931034,0.598142598517241,0.768916541862069,102.874383302414,0.279576123482759,0.213132716655172,0.234919076275862,0.613555225758621,0.131697984827586,1081.40368932759,1077.14968686897,0.00195322355172414,0.00237612548275862,0,8.27192625306897,8.463032396,0.000533688068965517,0.00264196534482759,0.00813591882758621,0.0124491327241379,0.00935312365517241,-27.12027814,9.067427379,3.618981853,"K20131113-248"
"250","250","Core","Lanyon",3.89737761904762e-06,1.2791220047619e-05,0.0218424391190476,0.000207446833333333,0.000207992785714286,3.13029333333333e-06,0.00481331335714286,0.00181286807142857,1.01825379461905,1.42542969047619e-07,4.22908214285714e-07,6.35519928571429e-08,1.41958802380952e-06,6.41583242857143e-05,0.000180722071428571,4.55633892857143e-07,3.92956352380952e-07,4.27132333333333e-07,8.3908075952381e-07,3.73018614285714e-07,0.0021724985952381,0.00220518114285714,2.46084309523810e-09,8.48227857142857e-09,0,1.57647730952381e-05,1.52006785714286e-05,9.77112380952381e-10,1.50860952380952e-09,5.13541428571429e-09,1.58497142857143e-09,3.93390285714286e-09,0.26999036052381,1.38016761366667,5011.75358559524,50.321790455,50.4542777835714,0.842957733476191,1349.21215988095,707.421133021429,407301.51782381,0.0639567563809524,0.202039394285714,0.0323113303095238,0.736693867238095,35.1787329305714,100.727821739048,0.266906498333333,0.249222071690476,0.27883937297619,0.583893613404762,0.318190296738095,1899.83851804762,1928.41932002381,0.00218357571428571,0.00913187226190476,0,21.6071576035714,20.8340043992857,0.00135462230952381,0.00210968819047619,0.00739290469047619,0.00264584978571429,0.00813518285714286,-23.17163834,13.89262161,3.263672087,"L20131113-250"
"255","255","Core","Lanyon",2.64121542307692e-06,1.82307053846154e-05,0.0203744575384615,0.000147189307692308,0.000132787653846154,5.76767692307692e-07,0.00170489723076923,0.00178148588461538,0.989898641615385,1.78585700653846e-07,2.95441730769231e-07,5.35338223076923e-08,4.64125038461538e-07,1.03747153846154e-06,0.000170019423076923,6.25817626923077e-07,3.15620092307692e-07,2.39209107692308e-07,2.31115303846154e-07,3.92624077692308e-07,0.00309097530769231,0.00320199707692308,4.11092269230769e-09,7.57549615384615e-09,1.15885115384615e-08,6.29337692307692e-05,6.09778153846154e-05,1.54687230769231e-09,1.16474961538462e-09,3.84454230769231e-09,5.97977461538462e-09,1.25919538461538e-09,0.182969942692308,1.96708648857692,4674.92484753846,35.7047570873077,32.211227265,0.155317826,477.897002384615,695.175082265385,395959.456673077,0.0801285322307692,0.141143791846154,0.0272178643846154,0.240857262846154,0.568857345961538,94.7625193188462,0.366599008269231,0.200173623384615,0.156159898769231,0.160826909384615,0.334914133576923,2703.04157838462,2800.12958453846,0.00364773807692308,0.008155653,0.0140827055384615,86.2568522630769,83.5760358934615,0.00214451111538462,0.00162882430769231,0.00553456961538462,0.00998224646153846,0.00260397430769231,-24.43279165,13.41102977,3.398336804,"L20131113-255"
"256","256","Core","Lanyon",2.13807907142857e-06,1.90625217857143e-05,0.0219083125357143,0.000200244321428571,0.000189530035714286,1.59884035714286e-06,0.00193645592857143,0.0023354645,0.985864751607143,1.69790411535714e-07,3.95533675e-07,6.86964678571429e-08,1.10065767857143e-06,3.1606995e-05,0.000188391071428571,3.48854285714286e-07,3.51776839285714e-07,3.04758364285714e-07,3.47489275e-07,4.98886571428571e-07,0.0023319895,0.00243060246428571,1.65877607142857e-09,6.46617142857143e-09,4.66102e-09,2.43452642857143e-05,2.45166714285714e-05,6.72783214285714e-10,1.64434321428571e-09,5.73929285714286e-09,1.90773321428571e-09,3.46871214285714e-09,0.148115227857143,2.05683762032143,5026.86826842857,48.5746557842857,45.9756125614286,0.430552074428571,542.804862303571,911.349778578571,394345.900667857,0.076182287,0.18896168625,0.0349269084285714,0.571185289857143,17.3304733360714,105.002196886071,0.204355826035714,0.223105014964286,0.198951586535714,0.24180841,0.425557510571429,2039.31258310714,2125.54902614286,0.00147188035714286,0.00696137175,0.00566421103571429,33.3675592482143,33.6024935785714,0.0009327145,0.00229950525,0.00826225371428571,0.00318464807142857,0.00717318128571429,-23.94422674,13.76982579,3.325032034,"L20131113-256"
"260","260","Core","Kambah Pool",5.97855235294118e-07,1.36610790441176e-05,0.0178519133529412,0.000561801029411765,0.000561132647058824,1.81110911764706e-06,0.00157447319705882,0.00127914673529412,1.00152196673529,1.51794050294118e-07,3.6509045e-07,4.05960264705882e-08,7.93130617647059e-07,6.59540676470588e-05,0.000161251647058824,4.95349029411765e-07,2.30479851470588e-07,3.84225588235294e-07,3.43022008823529e-07,2.28704644117647e-07,0.00210992052941176,0.002162029,3.27457294117647e-09,2.86415882352941e-09,3.41090294117647e-09,1.50173558823529e-05,1.45816076470588e-05,8.90613529411765e-10,2.58025211764706e-09,5.66556764705882e-09,3.88395058823529e-09,4.85964941176471e-09,0.0414163716470588,1.47402496494118,4096.12636064706,136.280006835294,136.117864732353,0.487714414882353,441.338055808029,499.151271302941,400608.786708824,0.0681075870882353,0.174417662294118,0.0206399892941176,0.411594593558824,36.1633580995882,89.8756610808824,0.290171206823529,0.146175712735294,0.250829078941176,0.238699698617647,0.1950883535,1845.11438832353,1890.68303335294,0.00290562120588235,0.00308350220588235,0.00414503326470588,20.5827476329412,19.9855186755882,0.00123470320588235,0.00360830982352941,0.00815611270588235,0.00648361067647059,0.0100495971176471,-24.77716061,14.10285035,3.216837979,"K20131115-260"
"261","261","Core","Kambah Pool",1.76746721190476e-06,1.37170892857143e-05,0.0185534298333333,0.000513279738095238,0.00050925769047619,2.68680952380952e-06,0.00224821426190476,0.00134661769047619,1.01955332764286,1.28578259761905e-07,2.7695929047619e-07,5.43480928571429e-08,9.66114657142857e-07,6.411345e-05,0.000179187619047619,3.02824119047619e-07,4.11468092857143e-07,2.46403e-07,3.82697488095238e-07,2.061685e-07,0.00226009185714286,0.00232423935714286,4.26164309523809e-09,6.44289047619048e-09,2.41357619047619e-09,2.82092261904762e-05,2.97457666666667e-05,6.88414523809524e-10,9.48224095238095e-10,4.55673333333333e-09,2.95342738095238e-09,2.57744166666667e-09,0.122441190452381,1.48006863733333,4257.08950678571,124.509832583571,123.534184435,0.723531938357143,630.193350287143,525.479922052381,407821.331038095,0.0576910278333333,0.132313996404762,0.0276318530714286,0.501364093619048,35.1541377063333,99.8725667397619,0.177391903142857,0.260962682833333,0.160856095428571,0.26630907447619,0.175864751142857,1976.43841211905,2032.53509133333,0.00378147528571429,0.00693630442857143,0.00293305085714286,38.6634921192857,40.7694643778571,0.000954384261904762,0.001326029,0.00655983961904762,0.00493025747619048,0.00533006316666667,-24.11155721,13.60528394,3.348412627,"K20131115-261"
