"pair.no","ind1.id","ind2.id","group","trioml","wang","lynchli","lynchrd","ritland","quellergt","dyadml"
"93",93,"185","74","1874",0,0.144,0.1395,-0.1281,-0.0967,-0.1781,0
"94",94,"185","115","1811",0,0.0733,0.0722,-0.0882,-0.0749,-0.1067,0
"95",95,"185","116","1811",0.0192,-0.0203,-0.0163,-0.019,-0.0186,0.0241,0.0192
"96",96,"185","117","1811",0.0966,0.1828,0.1838,0.091,0.0809,0.1566,0.1083
"97",97,"185","112","1811",0,0.1866,0.1811,-0.1214,-0.087,-0.244,0
"98",98,"185","113","1811",0,-0.005,-8e-04,-0.0714,-0.0658,-0.013,0
"99",99,"185","114","1811",0,0.0431,0.0493,-0.0473,-0.0415,0.0242,0
"100",100,"185","118","1811",0.0766,0.1602,0.1645,0.065,0.0566,0.0984,0.0766
"101",101,"185","126","1812",0,0.0409,0.0398,-0.132,-0.1118,-0.1085,0
"102",102,"185","119","1811",0,0.093,0.0928,-0.0724,-0.0611,-0.0467,0
"103",103,"185","120","1812",0.0273,0.0519,0.0554,-0.0274,-0.0247,0.0388,0.0273
"104",104,"185","121","1812",0,0.1017,0.1021,-0.051,-0.0431,0.0016,0
"105",105,"185","125","1812",0,0.0871,0.0838,-0.172,-0.134,-0.1938,0
"106",106,"185","124","1812",0,0.2636,0.258,-0.0513,-0.0347,-0.1349,0
"107",107,"185","123","1812",0,0.1738,0.1707,-0.0808,-0.0605,-0.1039,0
"108",108,"185","122","1812",0,0.0798,0.0803,-0.0077,-0.007,0.0309,0
"109",109,"185","134","1813",0,0.1451,0.1395,-0.0841,-0.0674,-0.1144,0
"110",110,"185","151","1815",0.0258,0.1537,0.1582,0.0122,0.0099,0.0355,0.0258
"111",111,"185","157","1815",0,0.0193,0.0213,-0.0048,-0.0046,0.0746,0
"112",112,"185","156","1815",0.0473,0.0828,0.0865,0.0455,0.0429,0.0918,0.0479
"113",113,"185","155","1815",0.0936,0.1427,0.1458,0.0926,0.0859,0.1429,0.0945
"114",114,"185","154","1815",0.072,0.1639,0.1662,0.0554,0.0482,0.1633,0.0744
"115",115,"185","153","1815",0.0705,0.1352,0.1395,0.0602,0.0539,0.1202,0.071
"116",116,"185","152","1815",0.2382,0.2516,0.2593,0.2502,0.2365,0.2726,0.2434
"117",117,"185","158","1815",0,0.0501,0.0513,-0.0893,-0.0771,-0.0664,0
"118",118,"185","159","1815",0.0221,0.1052,0.1084,0.0084,0.0074,0.06,0.0221
"119",119,"185","373","1837",0,0.1358,0.1271,-0.2196,-0.1564,-0.3696,0
"120",120,"185","109","1810",0,0.1928,0.1877,-0.1074,-0.077,-0.2025,0
"121",121,"185","108","1810",0,0.1287,0.1243,-0.164,-0.1218,-0.2185,0
"122",122,"185","110","1811",0,0.0385,0.0429,-0.0639,-0.0563,0.0147,0
"123",123,"185","111","1811",0.043,0.1049,0.1087,0.0466,0.0428,0.1098,0.0437
"124",124,"185","182","1818",0.0691,0.0735,0.0772,0.0118,0.0108,0.0806,0.0757
"125",125,"185","183","1818",0.0376,0.0759,0.0781,0.033,0.0312,0.107,0.0376
"126",126,"185","95","1895",0,0.0561,0.0522,-0.1857,-0.1486,-0.224,0
"127",127,"185","96","1896",0,-0.0115,-0.007,-0.0967,-0.087,-0.0305,0
"128",128,"185","97","1897",0,-0.033,-0.0288,-0.0753,-0.071,-0.0041,0
"129",129,"185","99","1899",0,-0.1018,-0.0974,-0.1495,-0.1407,-0.0964,0
"130",130,"185","98","1898",0,0.0864,0.0899,-0.045,-0.0382,0.0472,0
"131",131,"185","133","1813",0,0.0444,0.0466,-0.0574,-0.0512,-0.011,0
"132",132,"185","139","1813",0.1341,0.2327,0.2351,0.1084,0.091,0.1934,0.1341
"133",133,"185","140","1814",0,-0.0562,-0.051,-0.104,-0.0966,-0.03,0
"134",134,"185","142","1814",0,0.073,0.0806,-0.0095,-0.0084,0.0565,0
"135",135,"185","176","1817",0.007,0.1417,0.1443,0.0059,0.005,0.0963,0.007
"136",136,"185","368","1836",0,0.1775,0.1738,-0.1019,-0.0742,-0.1131,0
"137",137,"185","369","1836",0,0.0796,0.0806,-0.123,-0.0983,-0.0782,0
"138",138,"185","357","1835",0.0137,0.0467,0.0504,-0.0094,-0.0087,0.0589,0.0137
"139",139,"185","370","1837",0,-0.0629,-0.0602,-0.0442,-0.0443,0.0148,0
"140",140,"185","371","1837",0,0.0551,0.0522,-0.1629,-0.1327,-0.1948,0
"141",141,"185","372","1837",0,0.0786,0.0741,-0.1791,-0.1404,-0.2066,0
"142",142,"185","104","1810",0,0.1031,0.1021,-0.1558,-0.1179,-0.1486,0
"143",143,"185","103","1810",0,0.0625,0.0625,-0.0367,-0.0333,0.0224,0
"144",144,"185","107","1810",0,0.0869,0.0876,-0.1554,-0.1192,-0.1373,0
"145",145,"185","105","1810",0,0.0494,0.0491,-0.0752,-0.0665,-0.0311,0
"146",146,"185","101","1810",0,0.0932,0.0908,-0.0984,-0.0812,-0.0782,0
"147",147,"185","100","1810",0,0.187,0.177,-0.1708,-0.1202,-0.455,0
"148",148,"185","135","1813",0,0.0612,0.0647,-0.048,-0.0422,0.0184,0
"149",149,"185","136","1813",0.1347,0.2484,0.25,0.1148,0.0942,0.1239,0.1347
"150",150,"185","137","1813",0,-0.1081,-0.1037,-0.1356,-0.1299,-0.062,0
"151",151,"185","138","1813",0.0921,0.2704,0.2674,0.0691,0.0538,0.0458,0.0921
"152",152,"185","184","1818",0.126,0.1655,0.1645,0.1094,0.1035,0.1737,0.126
"153",153,"185","367","1836",0.0956,0.1957,0.1964,0.0866,0.0758,0.1858,0.0965
"154",154,"185","365","1836",0,0.0805,0.0834,-0.0519,-0.0443,0.0372,0
"155",155,"185","374","1837",0,0.1517,0.1468,-0.1478,-0.1073,-0.2565,0
"156",156,"185","375","1837",0,-9e-04,0.0024,-0.0659,-0.0608,0.0084,0
"157",157,"185","376","1837",0,-0.0912,-0.0883,-0.0945,-0.0933,-0.0413,0
"158",158,"185","377","1837",0,0.155,0.1489,-0.1847,-0.1295,-0.3662,0
"159",159,"185","79","1879",0.0135,-0.0682,-0.0656,-0.0781,-0.0764,-0.0442,0.0135
"160",160,"185","78","1878",0,0.1297,0.1275,-0.0849,-0.0675,-0.0849,0
"161",161,"185","77","1877",0,0.1845,0.1801,-0.101,-0.0733,-0.1316,0
"162",162,"185","150","1815",0.0416,0.0769,0.0807,0.0184,0.0169,0.0842,0.0416
"163",163,"185","149","1814",0,0.19,0.1889,-0.0452,-0.0339,-0.036,0
"164",164,"185","163","1816",0.0336,0.2779,0.2736,0.0248,0.018,-0.0019,0.0336
"165",165,"185","164","1816",0.0866,0.1514,0.1551,0.0772,0.0697,0.1454,0.0866
"166",166,"185","148","1814",0,0.1432,0.1395,-0.0775,-0.0618,-0.1292,0
"167",167,"185","147","1814",0,0.2196,0.2112,-0.117,-0.0818,-0.2989,0
"168",168,"185","160","1816",0.0942,0.0889,0.0938,0.0916,0.0894,0.1575,0.0948
"169",169,"185","161","1816",0.0661,0.0734,0.0795,0.0606,0.0576,0.1248,0.0661
"170",170,"185","162","1816",0.1436,0.2012,0.205,0.1239,0.1102,0.1993,0.1436
"171",171,"185","165","1816",0.0855,0.0502,0.0522,0.0838,0.0851,0.145,0.0855
"172",172,"185","175","1817",0,0.1938,0.1832,-0.1725,-0.1202,-0.4507,0
"173",173,"185","174","1817",0,0.2146,0.2081,-0.0965,-0.0684,-0.2045,0
"174",174,"185","166","1816",0,0.1635,0.1619,-0.0572,-0.0444,-0.0767,0
"175",175,"185","167","1816",0.0542,0.207,0.2081,0.0464,0.0376,0.0626,0.0565
"176",176,"185","168","1816",0.0316,0.0088,0.0135,-0.0108,-0.0103,0.0482,0.0316
"177",177,"185","169","1816",0.0659,0.1556,0.1564,0.0505,0.0446,0.0849,0.0659
"178",178,"185","181","1818",0.0312,0.0708,0.0744,0.0276,0.0258,0.0825,0.0312
